name,year_created,creator,popular_frameworks,primary_uses,description,website,type_checking,strength,programming_style
Python,1991,Guido van Rossum,"Django,Flask,FastAPI,PyTorch","Web development,Data science,Automation,Machine learning,Scripting","Python is a high-level, interpreted language known for its readability and versatility. Its large ecosystem and community make it ideal for beginners and professionals alike.",https://www.python.org/,Dynamic,Strong,Object-oriented
Python,1991,Guido van Rossum,"Django,Flask,FastAPI,PyTorch","Web development,Data science,Automation,Machine learning,Scripting","Python is a high-level, interpreted language known for its readability and versatility. Its large ecosystem and community make it ideal for beginners and professionals alike.",https://www.python.org/,Dynamic,Strong,Procedural
Python,1991,Guido van Rossum,"Django,Flask,FastAPI,PyTorch","Web development,Data science,Automation,Machine learning,Scripting","Python is a high-level, interpreted language known for its readability and versatility. Its large ecosystem and community make it ideal for beginners and professionals alike.",https://www.python.org/,Dynamic,Strong,Functional
Java,1995,James Gosling,"Spring,Hibernate,Jakarta EE","Enterprise applications,Android development,Backend systems","Java is a class-based, object-oriented language designed to be portable and secure. It runs on the JVM and is widely used in enterprise and mobile applications.",https://www.oracle.com/java,Static,Strong,Object-oriented
Java,1995,James Gosling,"Spring,Hibernate,Jakarta EE","Enterprise applications,Android development,Backend systems","Java is a class-based, object-oriented language designed to be portable and secure. It runs on the JVM and is widely used in enterprise and mobile applications.",https://www.oracle.com/java,Static,Strong,Imperative
Java,1995,James Gosling,"Spring,Hibernate,Jakarta EE","Enterprise applications,Android development,Backend systems","Java is a class-based, object-oriented language designed to be portable and secure. It runs on the JVM and is widely used in enterprise and mobile applications.",https://www.oracle.com/java,Static,Strong,Concurrent
C,1972,Dennis Ritchie,"GTK","Operating systems,Embedded systems,Compilers,System programming","C is a foundational programming language that influenced many modern languages. It provides low-level access to memory and hardware, making it ideal for performance-critical software.",https://www.c-language.org,Static,Weak,Procedural
C,1972,Dennis Ritchie,"GTK","Operating systems,Embedded systems,Compilers,System programming","C is a foundational programming language that influenced many modern languages. It provides low-level access to memory and hardware, making it ideal for performance-critical software.",https://www.c-language.org,Static,Weak,Structured
C++,1985,Bjarne Stroustrup,"Qt,Boost","Game development,High-performance applications,System software","C++ builds on C by adding object-oriented and generic programming features. It balances control over hardware with high-level abstractions, making it powerful but complex.",https://isocpp.org/,Static,Strong,Object-oriented
C++,1985,Bjarne Stroustrup,"Qt,Boost","Game development,High-performance applications,System software","C++ builds on C by adding object-oriented and generic programming features. It balances control over hardware with high-level abstractions, making it powerful but complex.",https://isocpp.org/,Static,Strong,Procedural
C++,1985,Bjarne Stroustrup,"Qt,Boost","Game development,High-performance applications,System software","C++ builds on C by adding object-oriented and generic programming features. It balances control over hardware with high-level abstractions, making it powerful but complex.",https://isocpp.org/,Static,Strong,Generic
JavaScript,1995,Brendan Eich,"React,Angular,Node.js,Express","Web development,Server-side scripting,Desktop and mobile apps","JavaScript is the language of the web, enabling interactive and dynamic web pages. It runs in browsers and on servers via Node.js, and supports both functional and OOP styles.",https://www.oracle.com/developer/javascript,Dynamic,Weak,Event-driven
JavaScript,1995,Brendan Eich,"React,Angular,Node.js,Express","Web development,Server-side scripting,Desktop and mobile apps","JavaScript is the language of the web, enabling interactive and dynamic web pages. It runs in browsers and on servers via Node.js, and supports both functional and OOP styles.",https://www.oracle.com/developer/javascript,Dynamic,Weak,Functional
JavaScript,1995,Brendan Eich,"React,Angular,Node.js,Express","Web development,Server-side scripting,Desktop and mobile apps","JavaScript is the language of the web, enabling interactive and dynamic web pages. It runs in browsers and on servers via Node.js, and supports both functional and OOP styles.",https://www.oracle.com/developer/javascript,Dynamic,Weak,Imperative
Go,2009,"Robert Griesemer, Rob Pike, and Ken Thompson","Gin,Beego,Fiber","Cloud services,Backend APIs,DevOps tools,Networking","Go (or Golang) is a statically typed, compiled language designed for simplicity, concurrency, and performance. It’s widely used for scalable backend systems and cloud infrastructure.",https://go.dev/,Static,Strong,Concurrent
Go,2009,"Robert Griesemer, Rob Pike, and Ken Thompson","Gin,Beego,Fiber","Cloud services,Backend APIs,DevOps tools,Networking","Go (or Golang) is a statically typed, compiled language designed for simplicity, concurrency, and performance. It’s widely used for scalable backend systems and cloud infrastructure.",https://go.dev/,Static,Strong,Imperative
Go,2009,"Robert Griesemer, Rob Pike, and Ken Thompson","Gin,Beego,Fiber","Cloud services,Backend APIs,DevOps tools,Networking","Go (or Golang) is a statically typed, compiled language designed for simplicity, concurrency, and performance. It’s widely used for scalable backend systems and cloud infrastructure.",https://go.dev/,Static,Strong,Structured
Rust,2006,Graydon Hoare,"Rocket,Actix","Systems programming,WebAssembly,Performance-critical software","Rust is designed for safety and concurrency without garbage collection. It guarantees memory safety through its ownership model, making it popular for system-level and high-performance code.",https://www.rust-lang.org/,Static,Strong,Functional
Rust,2006,Graydon Hoare,"Rocket,Actix","Systems programming,WebAssembly,Performance-critical software","Rust is designed for safety and concurrency without garbage collection. It guarantees memory safety through its ownership model, making it popular for system-level and high-performance code.",https://www.rust-lang.org/,Static,Strong,Imperative
Rust,2006,Graydon Hoare,"Rocket,Actix","Systems programming,WebAssembly,Performance-critical software","Rust is designed for safety and concurrency without garbage collection. It guarantees memory safety through its ownership model, making it popular for system-level and high-performance code.",https://www.rust-lang.org/,Static,Strong,Concurrent
C#,2000,Microsoft,".NET,ASP.NET Core","Game development,Desktop and web applications,Cloud services","C# is a modern, multi-paradigm language developed by Microsoft. It emphasizes type safety, memory management through garbage collection, and productivity features like LINQ, async programming, and rich tooling in Visual Studio.",https://dotnet.microsoft.com/en-us/languages/csharp,Static,Strong,Object-oriented
C#,2000,Microsoft,".NET,ASP.NET Core","Game development,Desktop and web applications,Cloud services","C# is a modern, multi-paradigm language developed by Microsoft. It emphasizes type safety, memory management through garbage collection, and productivity features like LINQ, async programming, and rich tooling in Visual Studio.",https://dotnet.microsoft.com/en-us/languages/csharp,Static,Strong,Functional
C#,2000,Microsoft,".NET,ASP.NET Core","Game development,Desktop and web applications,Cloud services","C# is a modern, multi-paradigm language developed by Microsoft. It emphasizes type safety, memory management through garbage collection, and productivity features like LINQ, async programming, and rich tooling in Visual Studio.",https://dotnet.microsoft.com/en-us/languages/csharp,Static,Strong,Event-driven
PHP,1995,Rasmus Lerdorf,"Laravel,Symfony,CodeIgniter","Web development,Server-side scripting","PHP is a server-side scripting language designed for web development. Despite mixed opinions, it powers a significant portion of the web, including WordPress.",https://www.php.net/,Dynamic,Weak,Imperative
PHP,1995,Rasmus Lerdorf,"Laravel,Symfony,CodeIgniter","Web development,Server-side scripting","PHP is a server-side scripting language designed for web development. Despite mixed opinions, it powers a significant portion of the web, including WordPress.",https://www.php.net/,Dynamic,Weak,Object-oriented
PHP,1995,Rasmus Lerdorf,"Laravel,Symfony,CodeIgniter","Web development,Server-side scripting","PHP is a server-side scripting language designed for web development. Despite mixed opinions, it powers a significant portion of the web, including WordPress.",https://www.php.net/,Dynamic,Weak,Functional
Kotlin,2011,JetBrains,"Ktor,Spring Boot (Kotlin),Jetpack Compose","Android development,Backend systems,Cross-platform development","Kotlin is a modern JVM language that emphasizes safety and conciseness. Officially supported by Google for Android development, it interoperates seamlessly with Java and improves developer productivity.",https://kotlinlang.org/,Static,Strong,Object-oriented
Kotlin,2011,JetBrains,"Ktor,Spring Boot (Kotlin),Jetpack Compose","Android development,Backend systems,Cross-platform development","Kotlin is a modern JVM language that emphasizes safety and conciseness. Officially supported by Google for Android development, it interoperates seamlessly with Java and improves developer productivity.",https://kotlinlang.org/,Static,Strong,Functional